업소명,소재지(도로명),소재지전화
은행동갈비집,"대전광역시 중구 중앙로122번길 25 (대흥동,(1층))",042-226-9285
일품루,대전광역시 중구 대흥로175번길 37 (대흥동),042-252-2009
진로집,대전광역시 중구 중교로 45-5 (대흥동),042-226-0914
양자강,대전광역시 중구 대흥로 90 (대흥동),042-254-1617
소나무집,대전광역시 중구 대종로460번길 59 (대흥동),042-256-1464
송원식당,대전광역시 중구 대종로521번길 5-5 (선화동),042-256-0316
일등푸드,"대전광역시 중구 계룡로874번길 9, 1층 (오류동)",042-532-9500
왕순대,대전광역시 중구 오류로 19-11 (오류동),042-523-8923
감나무식당,대전광역시 중구 대종로 399 (대흥동),042-252-2636
희락반점,대전광역시 중구 중앙로129번길 21 (선화동),042-256-0273
왕궁짬뽕명가,대전광역시 중구 대종로 431-2 (대흥동),042-226-3305
가평집,대전광역시 중구 유천로132번길 21-28 (태평동),042-531-3671
영광식당,"대전광역시 중구 계룡로881번길 51, 1층 (용두동)",042-252-6137
용두리순대,대전광역시 중구 어덕마을로 24 (용두동),042-226-9787
백객도중화포차,"대전광역시 중구 선화로 136, 1층 (선화동)",042-222-0233
제일식당,대전광역시 중구 보문산로36번길 9 (산성동),042-581-7826
김가네면옥,대전광역시 중구 보문로47번길 8 (문창동),042-271-2434
신선불고기식당,대전광역시 중구 대종로 319 (부사동),042-255-0440
동아식당,대전광역시 중구 계룡로815번길 14 (용두동),042-253-1223
본가칼국수,대전광역시 중구 중앙로112번길 42 (대흥동),042-257-9233
오복식탁,"대전광역시 중구 중앙로112번길 24, 1층 (대흥동)",
뚱보네식당,"대전광역시 중구 중앙로13번길 17 (용두동,(지상1층))",042-252-3418
복지면옥식당,대전광역시 중구 중교로 16 (대흥동),042-226-1787
먹고또먹고식당,대전광역시 중구 대둔산로 527-1 (유천동),042-282-0838
전주집,대전광역시 중구 대흥로175번길 43 (대흥동),042-256-1498
신삼정식당,대전광역시 중구 중교로 11 (대흥동),042-222-1533
학선식당,"대전광역시 중구 보문로337번길 26, 1층 (선화동)",042-256-4057
한영식당,"대전광역시 중구 계룡로874번길 6 (오류동,,27(1,2층))",042-533-2644
종가집밥상,대전광역시 중구 대흥로 97 (대흥동),042-254-3534
근경반점,"대전광역시 중구 보문로162번길 5, 1층 (대사동)",042-253-1332
권영분영동뜨끈이,"대전광역시 중구 대전천서로 375-1, 1층 (문창동)",042-221-4265
대성숯불구이,대전광역시 중구 동서대로1322번길 21 (용두동),042-226-6308
정통집대전대흥점,"대전광역시 중구 중앙로122번길 24, 1층 (대흥동)",042-256-0345
린생사진관,"대전광역시 중구 중앙로130번길 44, 2층 (대흥동)",042-256-9118
엠식당,"대전광역시 중구 계룡로874번길 15, 2층 (오류동)",
느린하루,대전광역시 중구 계룡로874번길 10 (오류동),042-533-2600
향우식당,대전광역시 중구 목척8길 20 (은행동),042-257-7638
벌집녹두삼계탕,대전광역시 중구 계백로 1705-17 (오류동),042-531-4647
타향골,대전광역시 중구 선화서로 16 (선화동),042-257-2829
금광식당,"대전광역시 중구 충무로 127 (대사동,(2,3,4,층))",042-226-8686
보통사람들식당,대전광역시 중구 중앙로164번길 21-10 (은행동),042-252-1793
동춘원,대전광역시 중구 목중로 6-1 (중촌동),042-256-3180
카페류,대전광역시 중구 대흥로 73 (대흥동),
대전갈비집,"대전광역시 중구 대흥로175번길 28 (대흥동,.16)",042-226-9428
충북집,대전광역시 중구 문창로 126-1 (대흥동),
삼정식당,"대전광역시 중구 중앙로121번길 66, 1층 (선화동)",042-255-5040
오구쌀피자은행점,"대전광역시 중구 중앙로164번길 21-10, 2층 (은행동)",042-224-5959
미가참숯구이,"대전광역시 중구 계룡로 911, 1층 (문화동)",042-226-9200
쭈낙,대전광역시 중구 계백로1593번길 7 (유천동),042-533-5550
남촌회관,"대전광역시 중구 중앙로16번길 27-7, 1~2층 (문화동)",042-254-0878
공원식당,대전광역시 중구 보문산공원로 487-1 (대사동),042-257-7203
자매식당,대전광역시 중구 보문산공원로 487 (대사동),042-252-4700
옥천골,"대전광역시 중구 대종로 279, 1층 (부사동)",042-226-5177
홍콩반점식당,"대전광역시 중구 유천로17번길 17 (유천동,(1층))",042-582-3664
연변차이나,대전광역시 중구 대흥로175번길 22 (대흥동),042-222-7880
공감,"대전광역시 중구 보문산공원로 479, 2층 (대사동)",
서린식당,"대전광역시 중구 보문로47번길 46 (문창동,(1층))",042-283-7262
고단백식당,대전광역시 중구 대종로517번길 62 (선화동),042-257-3681
티월드동소예주식회사,"대전광역시 중구 충무로 125, 1층 (대사동)",042-253-0606
시골집식당,대전광역시 중구 보문로 43-1 (문창동),042-271-7006
교하식당,대전광역시 중구 목척3길 8 (은행동),042-257-4000
광천식당,대전광역시 중구 대종로505번길 29 (선화동),042-226-4751
강강술래,대전광역시 중구 계백로 1712 (문화동),042-256-4400
황금연못,"대전광역시 중구 유천로86번길 5, 1층 (유천동)",042-523-0844
달보드레,"대전광역시 중구 유천로132번길 27, 1~2층 (태평동)",042-328-3926
이차돌오류점,대전광역시 중구 계룡로882번길 14 (오류동),042-535-2750
이레식당,대전광역시 중구 대흥로71번길 29 (대흥동),042-223-7720
트럼펫식당,"대전광역시 중구 유천로132번길 23, 지하1층 (태평동)",
파트너식당,대전광역시 중구 보문로 65 (부사동),
강셰프리취8로마,대전광역시 중구 중교로 91-15 (은행동),042-223-7878
소담애오류점,대전광역시 중구 계룡로874번길 13 (오류동),
우리칼국수식당,대전광역시 중구 대종로505번길 19 (선화동),042-252-6057
맛나식당,대전광역시 중구 대종로460번길 22 (대흥동),042-256-2202
곤지암한우소머리국밥대전석교점,대전광역시 중구 대종로 201 (석교동),042-271-6000
영동식당,대전광역시 중구 계룡로874번길 27-9 (오류동),042-531-6016
유천회집식당,"대전광역시 중구 계백로1584번길 15, 1층 (유천동)",042-042-
전주콩나물해장국식당,대전광역시 중구 대둔산로 468 (산성동),042-585-0008
토담,대전광역시 중구 보문산공원로 472 (대사동),042-252-1235
오류반점,"대전광역시 중구 오류로 66, 1층 (오류동)",042-523-6840
사랑채,대전광역시 중구 선화로 120 (선화동),042-252-8286
명성초밥,"대전광역시 중구 대흥로10번길 9 (대사동,,문화동1-214(1층))",042-257-8484
1989역전꼬마김밥(문화점),대전광역시 중구 중앙로16번길 31 (문화동),042-223-0288
소싯적청춘을요리하다대전은행점,"대전광역시 중구 중앙로156번길 41-12, 1층 (은행동)",042-341-6207
루비,"대전광역시 중구 보문로 69, 1층 (부사동)",042-252-6708
비어탭,대전광역시 중구 계룡로874번길 11 (오류동),
처갓집양념치킨부사점,대전광역시 중구 대종로316번길 2 (부사동),042-253-3588
민들레식당,"대전광역시 중구 보문로 99-2 (부사동,(1층))",042-254-1453
깡통주먹구이,대전광역시 중구 계룡로882번길 17 (오류동),042-538-3535
소울드아웃식당,"대전광역시 중구 보문로262번길 26, 1층 (대흥동)",042-226-2022
키토,"대전광역시 중구 대종로480번길 50 (은행동,,24,25)",042-257-3730
동면식당,대전광역시 중구 유천로132번길 21-28 (태평동),
대흥정육식당,"대전광역시 중구 보문로162번길 86 (대사동,,13)",042-226-9745
정식당,대전광역시 중구 중앙로130번길 37-13 (대흥동),042-257-5055
한밭칼국수식당,대전광역시 중구 목척4길 6 (은행동),042-254-8350
홍식당,"대전광역시 중구 중앙로130번길 36, 2층 (대흥동)",042-221-3212
청주골식당,대전광역시 중구 대흥로 170-2 (대흥동),042-254-4239
고려회관,"대전광역시 중구 중앙로109번길 30, 2층 (선화동)",042-254-8080
칼짬뽕,대전광역시 중구 계룡로 791-10 (용두동),042-256-7061
가장맛있는뒷고기,대전광역시 중구 계룡로874번길 21 (오류동),042-523-5523
돼지마을,대전광역시 중구 중교로 91-16 (은행동),042-253-6755
둘레,"대전광역시 중구 대종로517번길 13, 1층 (선화동)",042-253-3050
